iso3,forecast_points,evidenced_points,population_in_reach,p_unevidenced,basins_in_reach
ZAF,1718,211,16862019.356448974,0.7872775395256129,915
NGA,204,0,6942564.016250014,1.0,201
TZA,142,0,4355932.869367167,1.0,139
TCD,415,0,3486895.767583698,1.0,406
BDI,51,0,3194248.9362672567,1.0,44
SSD,1197,0,2915588.9828932974,1.0,1182
MWI,55,0,2584864.2702244846,1.0,51
KEN,105,0,2289662.237084318,1.0,99
COD,58,0,2201528.9820108577,1.0,55
ZWE,120,0,2011056.406965347,1.0,107
CIV,264,0,1913365.9418589044,1.0,249
CMR,140,0,1862428.3345598662,1.0,134
BFA,244,0,1860197.0267450586,1.0,234
ZMB,162,0,1671355.1822295152,1.0,156
MLI,191,0,1513417.8585877875,1.0,188
ETH,85,0,1396018.6703043124,1.0,73
UGA,65,0,1181244.2237282433,1.0,65
CAF,161,1,1135356.7517966023,0.27683548699025934,159
SDN,11,0,1116691.4331837296,1.0,10
AGO,611,3,1089692.637846171,0.9973495040910397,602
NER,22,2,1034935.4474173635,0.3840116220714559,21
GIN,100,4,1020955.460299422,0.8192263570133639,97
EGY,6,0,946252.6292512752,1.0,6
GHA,81,0,763508.289777115,1.0,77
LSO,47,3,625138.6519987956,0.9018948758975444,28
SLE,29,1,618408.5374392569,0.9888893878421916,29
DZA,12,0,557477.5884890147,1.0,12
NAM,157,6,487777.53580453416,0.9547785202647584,99
RWA,6,0,481082.1519033909,1.0,5
BEN,22,0,473878.3996504769,1.0,20
MAR,25,0,456321.3691455892,1.0,25
MOZ,28,1,394504.75903800095,0.9720189442701327,24
SEN,31,0,349669.7062462829,1.0,31
SWZ,37,2,252459.46036760136,0.9537703685747092,26
TGO,16,0,230905.797349222,1.0,15
MDG,35,0,217873.57092270628,1.0,34
STP,8,0,216351.34569022804,1.0,3
BWA,25,0,125923.83405743074,1.0,21
LBR,17,8,94156.98093816638,0.46541653826012175,17
SOM,6,0,90243.06116496772,1.0,6
TUN,6,0,82055.57724133879,1.0,6
GAB,19,0,58387.8367832466,1.0,19
COG,19,0,41815.87137490534,1.0,19
GMB,4,0,24310.552417181432,1.0,4
GNB,4,0,12980.036925327033,1.0,4
MRT,3,0,7156.629504826851,1.0,3
111,1,0,0.0,,0
