unique_gauge_id,longitude,latitude,HYBAS_ID,NEXT_DOWN,UP_AREA,SUB_AREA,continent,provider,data_source,is_hybas_entry,assigned,generous,rp2,rp5,file_present_all_null,f1_of_record,has_metric_file
GRDC_1104150,0.27,36.02,1120030450,0,44435.7,141.6,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1104200,0.68,35.5,1120089610,1120088400,5521.6,41.7,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1104300,1.12,35.87,1120087050,1120086480,1941.6,116.0,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1104450,2.82,36.67,1120030680,0,2038.7,22.3,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1104480,3.42,36.65,1120030740,0,158.0,158.0,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1104500,3.58,36.62,1120083320,1120083130,3763.2,176.3,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1104530,3.87,36.8,1120030780,0,2504.4,231.2,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1104600,4.6,36.42,1120084570,1120084470,4139.8,199.3,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1104700,6.3,36.23,1120085190,1120085340,1222.9,175.8,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
GRDC_1104800,7.72,36.45,1120084320,1121660970,554.1,47.7,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1107700,-1.45,35.15,1121664330,1120030310,7090.2,178.2,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1107800,-1.22,35.07,1121664800,1120092450,1308.0,93.3,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,True,,True
GRDC_1112100,-11.28,14.45,1120644790,1120644270,102685.1,95.5,AFRICA,19,GRDC_Stations-20220320.xlsx,False,True,False,False,False,False,,False
